"";"PLOT";"X5_min";"X10_min";"X15_min";"total";"year";"julian_date";"altitude";"PROPNATFOR"
"1";1;2;2;2;3;2005;354;210;0
"2";4;1;3;3;3;2005;354;231;0
"3";5;3;4;4;4;2005;354;233;0
"4";8;3;5;5;5;2005;320;214;0
"5";9;1;2;1;2;2005;326;184;0
"6";10;3;4;2;5;2005;326;184;0
"7";11;2;1;2;2;2005;326;206;0
"8";12;5;5;5;6;2005;320;205;0
"9";13;3;4;2;4;2005;326;188;0
"10";14;4;4;3;4;2005;320;205;0
"11";15;4;3;3;5;2005;320;207;0
"12";16;3;3;2;3;2005;320;194;0
"13";17;1;3;3;4;2005;320;195;0
"14";18;2;4;4;4;2005;326;194;0
"15";19;2;2;1;3;2005;320;204;0
"16";20;3;2;3;3;2005;326;200;0
"17";21;1;3;3;3;2005;326;180;0
"18";51;0;1;0;1;2005;331;442;0,626929562848618
"19";52;2;1;1;2;2005;331;458;0,55842997323818
"20";53;3;1;3;4;2005;331;487;0,739979312128265
"21";54;4;1;1;4;2005;331;459;0,5947879407256
"22";57;2;2;2;2;2005;331;486;0,4341996129389
"23";58;1;0;0;1;2005;331;393;0
"24";59;2;3;3;3;2005;331;443;0
"25";60;5;4;3;6;2005;331;452;0
"26";61;3;2;1;3;2005;331;419;0
"27";73;3;2;1;3;2005;349;114;0
"28";74;2;1;3;4;2005;349;109;0,101999235960779
"29";75;5;5;3;5;2005;349;207;0
"30";76;2;3;2;3;2005;349;170;0
"31";77;2;2;3;3;2005;349;293;0
"32";78;1;2;2;2;2005;349;161;0
"33";79;1;2;3;3;2005;328;434;0,0925655976676385
"34";81;2;2;2;2;2005;349;229;0
"35";82;0;0;0;2;2005;305;686;1
"36";85;1;3;0;3;2005;339;371;1
"37";87;2;2;2;2;2005;339;326;1
"38";88;2;2;2;2;2005;339;216;0
"39";89;0;0;0;3;2005;305;349;1
"40";90;0;1;0;1;2005;339;201;0,95
"41";91;3;2;1;3;2005;326;494;1
"42";92;1;2;3;3;2005;326;410;1
"43";95;1;2;2;2;2005;326;413;1
"44";96;3;2;5;5;2005;326;354;1
"45";97;2;2;0;4;2005;326;236;1
"46";98;3;2;3;4;2005;326;213;1
"47";99;1;1;1;1;2005;353;679;0,887000662105496
"48";100;1;1;1;1;2005;353;710;0,984974572353213
"49";101;1;3;0;3;2005;342;430;0,0759182418933456
"50";102;1;1;0;1;2005;342;432;0,114679699773084
"51";104;2;2;1;2;2005;342;363;0,13255033557047
"52";105;3;2;3;3;2005;342;283;0,229489051094891
"53";106;1;0;1;1;2005;342;206;0,0394448502556611
"54";107;0;1;1;1;2005;342;368;0,0886017535763729
"55";112;2;2;3;3;2005;352;109;0,158576051779935
"56";113;0;1;1;1;2005;352;200;0,533240997229917
"57";114;2;2;0;2;2005;352;144;0,0452453987730061
"58";115;1;0;0;1;2005;352;199;0,0124633431085044
"59";116;4;4;4;4;2005;352;196;0,00185313875376419
"60";117;0;2;2;2;2005;352;236;0,192260442260442
"61";119;1;1;1;1;2005;333;186;0,540425531914894
"62";120;1;1;2;2;2005;333;261;1
"63";121;2;3;0;3;2005;333;132;0,475806451612903
"64";122;0;0;1;1;2005;333;197;0
"65";131;3;1;2;4;2005;342;90;0,0316091954022989
"66";132;1;1;1;1;2005;342;160;0,0577464788732394
"67";133;0;3;2;3;2005;341;94;0,0548754748839173
"68";134;1;2;1;3;2005;341;207;0,0372030479605558
"69";135;1;3;2;3;2005;341;369;1
"70";136;2;2;2;3;2005;342;62;0,242462845010616
"71";137;1;0;0;1;2005;341;513;1
"72";138;2;1;0;2;2005;341;187;0,0170132325141777
"73";139;3;3;3;3;2005;354;209;0
"74";140;2;2;2;2;2005;354;205;0
"75";141;1;0;0;1;2005;328;281;0,0439262472885033
"76";142;0;2;1;2;2005;328;406;0,286538035041029
"77";143;0;0;2;2;2005;328;204;0
"78";144;1;2;0;2;2005;319;420;1
"79";145;2;1;2;3;2005;318;322;0,996565389696169
"80";146;3;3;2;3;2005;319;261;1
"81";147;3;2;0;3;2005;319;312;0,921579743008314
"82";149;4;1;0;4;2005;319;384;1
"83";150;2;1;1;2;2005;319;446;0,994843588862152
"84";151;2;1;1;3;2005;319;358;1
"85";152;2;3;0;3;2005;319;344;0,871165644171779
"86";153;3;3;3;3;2005;331;489;0
"87";154;4;4;0;4;2005;331;500;0
"88";155;0;2;0;2;2005;331;673;0
"89";156;1;0;1;2;2005;331;701;0
"90";157;2;2;0;2;2005;331;730;0
"91";158;2;2;2;3;2005;331;481;0,0382910116888352
"92";159;3;2;2;3;2005;331;424;0,606286959228136
"93";161;1;2;1;2;2005;331;558;0,376554681915654
"94";162;1;2;0;2;2005;331;576;0,191597796143251
"95";163;3;3;5;5;2005;331;440;0,565948770230661
"96";164;0;1;3;3;2005;331;400;0,195400217312568
"97";165;1;1;1;1;2005;331;553;0,870273254209219
"98";166;1;1;1;1;2005;331;460;0,653011113982941
"99";167;0;1;0;1;2005;331;759;0
"100";168;0;0;1;1;2005;331;713;1
"101";170;2;2;2;2;2005;331;711;0
"102";171;1;0;0;1;2005;331;382;0,00549882168106834
"103";190;4;3;1;4;2005;339;200;0,00328947368421053
"104";191;0;0;0;3;2005;305;159;0,274857504749842
"105";193;0;0;0;1;2005;305;692;1
"106";194;0;1;1;2;2005;339;277;1
"107";195;1;2;1;2;2005;339;146;0,542274052478134
"108";196;0;3;3;3;2005;339;390;1
"109";218;2;2;2;2;2005;354;203;0
"110";219;0;1;1;1;2005;354;221;0
"111";223;4;3;3;4;2005;354;165;0
"112";224;2;2;2;2;2005;354;154;0
"113";226;2;3;3;3;2005;332;110;0
"114";227;1;1;1;3;2005;332;113;0
"115";228;1;1;0;1;2005;332;116;0,215489062107116
"116";229;3;2;3;8;2005;332;104;0
"117";230;1;1;1;3;2005;332;77;0
"118";231;3;5;6;6;2005;332;98;0
"119";233;4;3;3;4;2005;332;72;0
"120";235;1;0;2;3;2005;326;459;1
"121";236;2;1;2;2;2005;326;463;1
"122";237;1;1;1;1;2005;353;748;1
"123";240;1;2;2;2;2005;352;243;0,555407209612817
"124";241;1;2;1;3;2005;333;113;1
"125";243;1;1;2;2;2005;333;145;0,811594202898551
"126";251;1;1;2;2;2005;341;335;0,908446163765313
"127";252;0;2;1;2;2005;341;60;0,156670403587444
"128";253;1;2;3;3;2005;341;178;0,449425287356322
"129";254;1;2;0;2;2005;341;343;1
"130";255;4;3;3;4;2005;342;227;0,0036101083032491
"131";256;0;1;0;1;2005;342;203;0,043557168784029
"132";257;2;2;2;2;2005;342;103;0,0787556053811659
"133";261;2;1;0;2;2005;335;142;0,281698564593301
"134";262;1;0;1;1;2005;335;360;0,930365296803653
"135";265;2;2;1;2;2005;335;634;0,657811260904044
"136";266;1;2;2;2;2005;335;427;0,30241935483871
"137";268;1;1;0;1;2005;334;98;1
"138";270;1;1;0;1;2005;334;275;1
"139";271;0;1;0;1;2005;334;518;1
"140";272;1;0;0;1;2005;334;397;1
"141";275;2;1;1;2;2005;335;260;0,75765306122449
"142";276;2;2;2;3;2005;335;218;0,170532060027285
"143";280;3;2;3;3;2005;332;151;0
"144";282;3;2;4;4;2005;332;130;0
"145";283;3;3;3;3;2005;332;132;0
"146";284;6;7;5;8;2005;332;141;0
"147";285;5;2;3;5;2005;332;146;0
"148";286;2;2;2;3;2005;332;88;0
"149";287;3;4;2;4;2005;332;85;0
"150";288;2;2;3;3;2005;332;99;0
"151";289;1;2;1;2;2005;349;177;0
"152";290;0;1;1;2;2005;349;187;0
"153";291;1;1;1;1;2005;349;115;0
"154";292;1;1;1;2;2005;349;39;0
"155";293;3;3;3;3;2005;349;263;0
"156";294;2;3;3;3;2005;349;328;0
"157";295;2;2;0;2;2005;349;236;0
"158";296;4;3;4;4;2005;349;106;0
"159";297;2;1;1;2;2005;349;185;0
"160";298;1;1;1;1;2005;349;161;0
"161";299;2;2;1;2;2005;349;37;0
"162";300;4;4;4;4;2005;326;223;0
"163";301;4;5;3;5;2005;331;477;0,723038242688898
"164";308;4;2;0;4;2005;318;215;0,898884758364312
"165";309;3;3;2;3;2005;318;293;0,163454410674574
"166";310;2;0;1;3;2005;318;305;0,224137931034483
"167";311;1;1;0;2;2005;318;317;0,393139841688654
"168";312;2;1;2;3;2005;318;318;0,823275862068966
"169";317;2;2;1;3;2005;318;397;0,824988723500226
"170";318;4;2;0;4;2005;318;177;0,26219512195122
"171";321;3;3;3;3;2005;326;187;0
"172";322;3;3;3;3;2005;326;190;0
"173";323;2;3;3;4;2005;325;297;0,0284181528200667
"174";327;1;0;1;2;2005;325;556;0,125946848119142
"175";329;2;1;1;3;2005;325;494;0,168386192841676
"176";331;1;2;1;3;2005;321;372;0,0486958756263652
"177";333;1;0;1;2;2005;321;404;0,0308201732042792
"178";335;0;0;1;1;2005;325;328;0
"179";337;1;2;0;3;2005;325;252;0
"180";340;0;0;3;3;2005;325;348;0
"181";342;2;1;2;2;2005;321;947;0,632915360501567
"182";346;2;2;2;2;2005;325;504;0,632336091661362
"183";348;0;1;1;1;2005;325;393;0,622181912412542
"184";350;1;1;1;3;2005;325;613;0,889861316817019
"185";352;2;2;2;2;2005;325;735;1
"186";354;2;3;2;3;2005;325;753;1
"187";356;2;1;1;2;2005;325;612;1
"188";358;2;2;2;2;2005;348;444;1
"189";359;1;1;0;1;2005;348;486;1
"190";360;2;0;2;2;2005;321;950;1
"191";361;2;2;1;2;2005;328;336;1
"192";362;1;1;2;2;2005;321;966;1
"193";364;0;1;0;1;2005;325;690;1
"194";367;2;2;2;6;2005;326;376;1
"195";368;0;1;1;1;2005;325;525;1
"196";369;2;2;2;2;2005;328;406;0,0228845130388505
"197";370;2;1;1;2;2005;325;530;0,999745385105029
"198";371;4;4;4;5;2005;326;334;1
"199";374;1;0;0;1;2005;321;965;0,824907521578298
"200";375;3;2;3;5;2005;326;457;1
"201";376;1;1;0;2;2005;321;360;0,0733757961783439
"202";377;2;2;5;5;2005;326;269;1
"203";378;2;4;2;4;2005;321;493;0,141783439490446
"204";380;1;0;1;1;2005;321;558;0,134852922450019
"205";382;2;2;2;2;2005;321;567;0,141799232035107
"206";384;1;3;0;3;2005;321;533;0,139854795567444
"207";386;2;1;2;2;2005;321;451;0,142875334267159
"208";388;0;0;1;1;2005;325;300;0,0262463115390589
"209";390;1;2;3;3;2005;325;296;0,120550458715596
"210";392;1;0;2;3;2005;321;795;0,202670971529205
"211";400;4;4;4;4;2005;326;191;0
"212";401;1;1;1;2;2005;328;315;1
"213";402;1;3;3;3;2005;328;164;1
"214";403;1;1;3;3;2005;326;254;1
"215";404;3;1;2;3;2005;326;265;1
"216";405;3;2;4;4;2005;326;403;1
"217";408;4;5;5;6;2005;326;332;1
"218";409;5;3;3;5;2005;326;354;1
"219";411;0;2;2;2;2005;326;204;0
"220";412;1;2;1;2;2005;326;179;0
"221";420;1;1;1;2;2005;328;320;1
"222";421;3;3;2;4;2005;328;274;1
"223";422;1;2;0;2;2005;328;258;0
"224";423;2;0;0;2;2005;328;273;0
"225";424;2;3;1;3;2005;328;402;0
"226";425;0;0;1;1;2005;328;332;0
"227";426;0;1;3;3;2005;328;282;0
"228";427;2;2;1;2;2005;328;329;0
"229";428;2;2;1;2;2005;328;397;0,00209863588667366
"230";430;4;2;0;4;2005;333;174;1
"231";431;2;3;2;3;2005;333;209;1
"232";432;1;1;2;2;2005;333;158;1
"233";433;0;0;1;1;2005;333;186;0,403314917127072
"234";434;2;3;1;3;2005;333;258;1
"235";435;3;3;2;3;2005;333;172;1
"236";436;1;1;2;2;2005;333;151;0,949152542372881
"237";437;1;1;2;3;2005;333;170;0,497674418604651
"238";438;2;1;1;2;2005;333;143;0,602040816326531
"239";451;1;1;0;1;2005;333;263;0,864197530864197
"240";452;1;1;1;1;2005;333;225;0,564516129032258
"241";460;1;1;2;2;2005;335;345;0,94256120527307
"242";461;1;3;2;3;2005;335;345;0,658771929824561
"243";462;1;1;0;2;2005;335;329;0,900558659217877
"244";463;4;3;2;4;2005;335;341;0,894277400581959
"245";464;1;2;0;2;2005;335;316;1
"246";467;1;1;1;2;2005;335;604;0,570093457943925
"247";470;1;2;1;2;2005;335;291;0,258948545861298
"248";471;2;2;2;3;2005;335;364;0,203898050974513
"249";476;2;1;0;2;2005;335;148;0,190739167374681
"250";477;4;4;4;4;2005;335;162;0,627848891664065
"251";478;1;0;2;3;2005;335;398;0,140419947506562
"252";481;1;0;0;1;2005;335;509;1
"253";483;1;0;0;1;2005;334;207;1
"254";484;1;0;1;2;2005;335;243;1
"255";485;2;1;2;3;2005;335;240;1
"256";486;2;1;0;2;2005;334;478;1
"257";490;2;4;2;4;2005;333;91;0,549707602339181
"258";491;2;4;4;4;2005;333;143;1
"259";492;2;3;1;3;2005;333;117;0,677018633540373
"260";493;2;1;1;2;2005;333;101;1
"261";494;4;4;3;4;2005;333;265;1
"262";495;2;1;0;2;2005;333;232;1
"263";496;1;2;2;2;2005;333;136;0,794326241134752
"264";510;1;1;1;1;2005;352;426;0,866056572379368
"265";511;0;0;1;1;2005;352;415;0,776209677419355
"266";512;2;3;2;4;2005;352;233;0,153356197942185
"267";514;0;0;1;1;2005;352;173;0
"268";515;1;0;0;1;2005;352;157;0,179858934169279
"269";516;2;1;3;4;2005;352;178;0,473244781783681
"270";520;0;1;2;2;2005;352;120;0,188287764203995
"271";521;3;4;4;4;2005;352;372;0,152610441767068
"272";522;1;1;2;2;2005;332;77;0
"273";523;2;2;1;5;2005;332;99;0
"274";524;1;1;3;5;2005;332;107;0,145967166309779
"275";525;1;3;2;6;2005;332;101;0
"276";530;2;1;0;3;2005;335;67;0,686967910936477
"277";531;2;0;2;3;2005;335;167;0,92588092345079
"278";532;1;1;0;2;2005;335;244;1
"279";540;2;3;2;3;2005;339;182;0,350045167118338
"280";541;4;3;3;4;2005;339;179;0,727220956719818
"281";542;1;0;0;1;2005;339;288;1
"282";543;4;4;4;4;2005;339;265;1
"283";544;2;2;2;3;2005;339;224;1
"284";546;1;2;2;2;2005;339;179;0,438250096786682
"285";547;2;1;2;2;2005;339;231;0,746113989637306
"286";551;2;2;2;2;2005;342;127;0,0209839123338774
"287";552;1;2;1;2;2005;341;323;0,827083333333333
"288";553;2;2;2;2;2005;341;307;0,32621359223301
"289";554;2;1;3;3;2005;341;463;1
"290";555;1;1;0;1;2005;342;18;0,376139817629179
"291";560;2;0;2;2;2005;334;436;1
"292";561;1;1;0;1;2005;335;571;0,721006564551422
"293";562;1;0;0;1;2005;334;296;1
"294";563;2;2;2;2;2005;335;147;0,51424450054093
"295";570;1;1;0;1;2005;353;634;1
"296";571;2;1;1;2;2005;353;736;1
"297";572;0;1;1;1;2005;353;758;1
"298";574;1;0;0;1;2005;353;745;1
"299";577;0;0;1;1;2005;342;312;0,199896292455276
"300";578;2;2;1;2;2005;342;214;0,139448336252189
"301";579;2;1;1;2;2005;342;381;0,148506694129763
"302";580;1;2;1;2;2005;342;431;0,140828556539865
"303";581;2;3;2;3;2005;335;56;0,476586888657648
"304";583;2;1;1;2;2005;335;222;0,642681426814268
"305";584;1;1;2;2;2005;335;306;0,899045020463847
"306";585;1;1;2;2;2005;335;103;0,7272030651341
"307";590;2;3;3;4;2005;332;116;0
"308";591;1;2;2;2;2005;341;360;1
"309";595;2;2;2;3;2005;348;426;1
"310";596;1;1;2;2;2005;348;453;1
"311";597;2;1;1;2;2005;349;235;0
"312";598;4;4;4;4;2005;349;141;0
